"id","authorYear","arm","isAnthra","anthracyclineCumulDose","isCyclo","cyclophosphamideCumulDose","isTaxane","taxaneCumulDose","isFluoro","fluoroucilCumulDose","nITT","medianFU","malType","malN","py","rate","x"
961,"Fisher (1999)",1,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,849,55.2,"AML",4,3905.4,10.2422287089671,240
961,"Fisher (1999)",2,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,847,55.2,"AML",5,3896.2,12.833016785586,240
961,"Fisher (1999)",3,TRUE,240,TRUE,9600,FALSE,NA,FALSE,NA,849,55.2,"AML",6,3905.4,15.3633430634506,240
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"AML",6,801.108333333333,74.8962375042909,675
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML",0,874.516666666667,0,180
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML",0,874.516666666667,0,180
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"AML",0,1624.25,0,480
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"AML",3,1551.25,19.3392425463336,800
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"AML",0,6281.6,0,360
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"AML",0,6344,0,360
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"AML",0,1920,0,480
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"AML",0,1962.66666666667,0,480
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"AML",6,8918.25,6.72777731057102,300
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"AML",4,9027.5,4.43090556632512,300
1842,"Fountzilas (2005)",1,TRUE,330,FALSE,NA,TRUE,750,FALSE,NA,297,62,"AML",0,1534.5,0,330
1842,"Fountzilas (2005)",2,TRUE,440,FALSE,NA,FALSE,NA,FALSE,NA,290,62,"AML",0,1498.33333333333,0,440
1844,"Roche (2006)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,996,60,"AML",3,4980,6.02409638554217,600
1844,"Roche (2006)",2,TRUE,300,TRUE,1500,TRUE,300,TRUE,1500,1003,60,"AML",1,5015,1.99401794616152,300
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"AML",0,2292.5,0,300
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"AML",2,2150.58333333333,9.29980237919944,150
1847,"Fumoleu (2003)",3,TRUE,225,TRUE,1500,FALSE,NA,TRUE,1500,195,131,"AML",1,2128.75,4.69759248385203,225
1849,"Fargeot (2004)",2,TRUE,540,FALSE,NA,FALSE,NA,FALSE,NA,163,72,"AML",0,978,0,540
1853,"Wils (1999)",1,TRUE,600,FALSE,NA,FALSE,NA,FALSE,NA,303,57.6,"AML",2,1454.4,13.7513751375138,600
1876,"Fisher (1997)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,767,69.3,"AML",1,4429.425,2.25762937627344,240
1876,"Fisher (1997)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,763,69.3,"AML",1,4406.325,2.26946491690922,240
1876,"Fisher (1997)",3,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,771,69.3,"AML",2,4452.525,4.4918332856076,240
1884,"Mackey (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,745,124,"AML",4,7698.33333333333,5.19592985494696,300
1884,"Mackey (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,746,124,"AML",1,7708.66666666667,1.29724120038052,300
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"AML",9,11448,7.86163522012579,324
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"AML",11,10972.8,10.0247885680957,324
1997,"Bonneterre (2005)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,271,110,"AML",1,2484.16666666667,4.02549480040255,300
1997,"Bonneterre (2005)",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,266,110,"AML",1,2438.33333333333,4.10116199589884,600
2000,"Eiermann (2011)",1,TRUE,240,TRUE,2400,TRUE,400,FALSE,NA,1649,65,"AML",2,8932.08333333333,2.23911927974997,240
2000,"Eiermann (2011)",2,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,1649,65,"AML",4,8932.08333333333,4.47823855949993,300
2002,"Martin (2013)",1,TRUE,200,TRUE,2000,TRUE,800,TRUE,2000,951,63.3,"AML",1,5016.525,1.99341177408664,200
2002,"Martin (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,974,63.3,"AML",2,5137.85,3.89267884426365,300
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"AML",1,1162,8.60585197934595,300
2049,"Nitz (2014",1,TRUE,360,TRUE,2400,TRUE,400,FALSE,NA,978,59,"AML",2,4808.5,4.15930123739212,360
2049,"Nitz (2014",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,795,59,"AML",0,3908.75,0,600
961,"Fisher (1999)",1,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,849,55.2,"MDS",0,3905.4,0,240
961,"Fisher (1999)",2,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,847,55.2,"MDS",5,3896.2,12.833016785586,240
961,"Fisher (1999)",3,TRUE,240,TRUE,9600,FALSE,NA,FALSE,NA,849,55.2,"MDS",2,3905.4,5.12111435448353,240
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"MDS",3,801.108333333333,37.4481187521455,675
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"MDS",0,874.516666666667,0,180
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"MDS",0,874.516666666667,0,180
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"MDS",0,1624.25,0,480
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"MDS",0,1551.25,0,800
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"MDS",0,6281.6,0,360
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"MDS",0,6344,0,360
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"MDS",0,1920,0,480
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"MDS",0,1962.66666666667,0,480
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"MDS",2,8918.25,2.24259243685701,300
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"MDS",4,9027.5,4.43090556632512,300
1842,"Fountzilas (2005)",1,TRUE,330,FALSE,NA,TRUE,750,FALSE,NA,297,62,"MDS",0,1534.5,0,330
1842,"Fountzilas (2005)",2,TRUE,440,FALSE,NA,FALSE,NA,FALSE,NA,290,62,"MDS",1,1498.33333333333,6.67408231368187,440
1853,"Wils (1999)",1,TRUE,600,FALSE,NA,FALSE,NA,FALSE,NA,303,57.6,"MDS",0,1454.4,0,600
1876,"Fisher (1997)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,767,69.3,"MDS",1,4429.425,2.25762937627344,240
1876,"Fisher (1997)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,763,69.3,"MDS",0,4406.325,0,240
1876,"Fisher (1997)",3,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,771,69.3,"MDS",1,4452.525,2.2459166428038,240
1884,"Mackey (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,745,124,"MDS",2,7698.33333333333,2.59796492747348,300
1884,"Mackey (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,746,124,"MDS",1,7708.66666666667,1.29724120038052,300
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"MDS",4,11448,3.49406009783368,324
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"MDS",4,10972.8,3.64537766112569,324
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"MDS",0,1162,0,300
961,"Fisher (1999)",1,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,849,55.2,"AML or MDS",4,3905.4,10.2422287089671,240
961,"Fisher (1999)",2,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,847,55.2,"AML or MDS",10,3896.2,25.6660335711719,240
961,"Fisher (1999)",3,TRUE,240,TRUE,9600,FALSE,NA,FALSE,NA,849,55.2,"AML or MDS",8,3905.4,20.4844574179341,240
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"AML or MDS",9,801.108333333333,112.344356256436,675
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML or MDS",0,874.516666666667,0,180
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML or MDS",0,874.516666666667,0,180
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"AML or MDS",0,1624.25,0,480
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"AML or MDS",3,1551.25,19.3392425463336,800
1040,"Citron (2003)",1,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,484,36,"AML or MDS",2,1452,13.7741046831956,240
1040,"Citron (2003)",2,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,493,36,"AML or MDS",3,1479,20.2839756592292,240
1040,"Citron (2003)",3,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,501,36,"AML or MDS",4,1503,26.6134397870925,240
1040,"Citron (2003)",4,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,495,36,"AML or MDS",2,1485,13.4680134680135,240
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"AML or MDS",0,6281.6,0,360
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"AML or MDS",0,6344,0,360
1265,"Goldstein (2008)",1,TRUE,240,FALSE,NA,TRUE,240,FALSE,NA,1441,79.5,"AML or MDS",7,9546.625,7.33243423723043,240
1265,"Goldstein (2008)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,1441,79.5,"AML or MDS",7,9546.625,7.33243423723043,240
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"AML or MDS",0,1920,0,480
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"AML or MDS",0,1962.66666666667,0,480
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"AML or MDS",8,8918.25,8.97036974742803,300
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"AML or MDS",8,9027.5,8.86181113265024,300
1842,"Fountzilas (2005)",1,TRUE,330,FALSE,NA,TRUE,750,FALSE,NA,297,62,"AML or MDS",0,1534.5,0,330
1842,"Fountzilas (2005)",2,TRUE,440,FALSE,NA,FALSE,NA,FALSE,NA,290,62,"AML or MDS",1,1498.33333333333,6.67408231368187,440
1843,"Mamounas (2005)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,1528,65,"AML or MDS",2,8276.66666666667,2.41643173580346,240
1843,"Mamounas (2005)",2,TRUE,240,TRUE,2400,TRUE,900,FALSE,NA,1531,65,"AML or MDS",6,8292.91666666667,7.23509018740893,240
1844,"Roche (2006)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,996,60,"AML or MDS",3,4980,6.02409638554217,600
1844,"Roche (2006)",2,TRUE,300,TRUE,1500,TRUE,300,TRUE,1500,1003,60,"AML or MDS",1,5015,1.99401794616152,300
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"AML or MDS",0,2292.5,0,300
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"AML or MDS",2,2150.58333333333,9.29980237919944,150
1847,"Fumoleu (2003)",3,TRUE,225,TRUE,1500,FALSE,NA,TRUE,1500,195,131,"AML or MDS",1,2128.75,4.69759248385203,225
1849,"Fargeot (2004)",2,TRUE,540,FALSE,NA,FALSE,NA,FALSE,NA,163,72,"AML or MDS",0,978,0,540
1850,"Kerbrat (2007)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,235,78,"AML or MDS",1,1527.5,6.54664484451719,600
1850,"Kerbrat (2007)",2,TRUE,300,FALSE,NA,FALSE,NA,FALSE,NA,236,78,"AML or MDS",0,1534,0,300
1853,"Wils (1999)",1,TRUE,600,FALSE,NA,FALSE,NA,FALSE,NA,303,57.6,"AML or MDS",2,1454.4,13.7513751375138,600
1876,"Fisher (1997)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,767,69.3,"AML or MDS",2,4429.425,4.51525875254689,240
1876,"Fisher (1997)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,763,69.3,"AML or MDS",1,4406.325,2.26946491690922,240
1876,"Fisher (1997)",3,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,771,69.3,"AML or MDS",3,4452.525,6.73774992841141,240
1884,"Mackey (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,745,124,"AML or MDS",6,7698.33333333333,7.79389478242044,300
1884,"Mackey (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,746,124,"AML or MDS",2,7708.66666666667,2.59448240076105,300
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"AML or MDS",13,11448,11.3556953179595,324
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"AML or MDS",15,10972.8,13.6701662292213,324
1997,"Bonneterre (2005)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,271,110,"AML or MDS",1,2484.16666666667,4.02549480040255,300
1997,"Bonneterre (2005)",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,266,110,"AML or MDS",1,2438.33333333333,4.10116199589884,600
2000,"Eiermann (2011)",1,TRUE,240,TRUE,2400,TRUE,400,FALSE,NA,1649,65,"AML or MDS",2,8932.08333333333,2.23911927974997,240
2000,"Eiermann (2011)",2,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,1649,65,"AML or MDS",4,8932.08333333333,4.47823855949993,300
2002,"Martin (2013)",1,TRUE,200,TRUE,2000,TRUE,800,TRUE,2000,951,63.3,"AML or MDS",1,5016.525,1.99341177408664,200
2002,"Martin (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,974,63.3,"AML or MDS",2,5137.85,3.89267884426365,300
2003,"Moore (2007)",1,TRUE,240,TRUE,900,TRUE,600,FALSE,NA,271,70,"AML or MDS",2,1580.83333333333,12.6515550869794,240
2003,"Moore (2007)",2,TRUE,320,TRUE,2400,FALSE,NA,FALSE,NA,265,70,"AML or MDS",3,1545.83333333333,19.4070080862534,320
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"AML or MDS",1,1162,8.60585197934595,300
2010,"Shulman (2014)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,1107,73.2,"AML or MDS",1,6752.7,1.48088912583115,240
2010,"Shulman (2014)",2,TRUE,360,TRUE,3600,FALSE,NA,FALSE,NA,766,73.2,"AML or MDS",5,4672.6,10.7006805632838,360
2011,"Swain (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,1617,64,"AML or MDS",5,8624,5.79777365491651,300
2011,"Swain (2013)",2,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,1624,64,"AML or MDS",8,8661.33333333333,9.23645320197044,240
2011,"Swain (2013)",3,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,1618,64,"AML or MDS",11,8629.33333333333,12.7472187886279,240
2049,"Nitz (2014",1,TRUE,360,TRUE,2400,TRUE,400,FALSE,NA,978,59,"AML or MDS",2,4808.5,4.15930123739212,360
2049,"Nitz (2014",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,795,59,"AML or MDS",0,3908.75,0,600
926,"Misset (1996)",2,TRUE,360,TRUE,14400,FALSE,NA,TRUE,19200,137,190.8,"Non-Breast Solid",3,2178.3,13.7722076848919,360
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"Non-Breast Solid",3,801.108333333333,37.4481187521455,675
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"Non-Breast Solid",1,874.516666666667,11.4348878428084,180
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"Non-Breast Solid",1,874.516666666667,11.4348878428084,180
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"Non-Breast Solid",3,1624.25,18.4700631060489,480
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"Non-Breast Solid",6,1551.25,38.6784850926672,800
1040,"Citron (2003)",1,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,484,36,"Non-Breast Solid",4,1452,27.5482093663912,240
1040,"Citron (2003)",2,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,493,36,"Non-Breast Solid",10,1479,67.6132521974307,240
1040,"Citron (2003)",3,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,501,36,"Non-Breast Solid",2,1503,13.3067198935462,240
1040,"Citron (2003)",4,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,495,36,"Non-Breast Solid",10,1485,67.3400673400673,240
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"Non-Breast Solid",17,6281.6,27.06316861946,360
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"Non-Breast Solid",14,6344,22.0680958385876,360
1399,"Martin (2010)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,539,77,"Non-Breast Solid",9,3458.58333333333,26.0222152615474,300
1399,"Martin (2010)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,521,77,"Non-Breast Solid",16,3343.08333333333,47.8600094722935,300
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"Non-Breast Solid",4,1920,20.8333333333333,480
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"Non-Breast Solid",4,1962.66666666667,20.3804347826087,480
1842,"Fountzilas (2005)",1,TRUE,330,FALSE,NA,TRUE,750,FALSE,NA,297,62,"Non-Breast Solid",3,1534.5,19.5503421309873,330
1842,"Fountzilas (2005)",2,TRUE,440,FALSE,NA,FALSE,NA,FALSE,NA,290,62,"Non-Breast Solid",4,1498.33333333333,26.6963292547275,440
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"Non-Breast Solid",5,2292.5,21.8102508178844,300
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"Non-Breast Solid",4,2150.58333333333,18.5996047583989,150
1847,"Fumoleu (2003)",3,TRUE,225,TRUE,1500,FALSE,NA,TRUE,1500,195,131,"Non-Breast Solid",2,2128.75,9.39518496770405,225
1849,"Fargeot (2004)",2,TRUE,540,FALSE,NA,FALSE,NA,FALSE,NA,163,72,"Non-Breast Solid",5,978,51.1247443762781,540
1853,"Wils (1999)",1,TRUE,600,FALSE,NA,FALSE,NA,FALSE,NA,303,57.6,"Non-Breast Solid",4,1454.4,27.5027502750275,600
1854,"Coombes (1996)",3,TRUE,400,TRUE,4800,FALSE,NA,TRUE,4800,180,58,"Non-Breast Solid",2,870,22.9885057471264,400
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"Non-Breast Solid",50,11448,43.675751222921,324
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"Non-Breast Solid",51,10972.8,46.4785651793526,324
1997,"Bonneterre (2005)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,271,110,"Non-Breast Solid",9,2484.16666666667,36.2294532036229,300
1997,"Bonneterre (2005)",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,266,110,"Non-Breast Solid",12,2438.33333333333,49.2139439507861,600
2002,"Martin (2013)",1,TRUE,200,TRUE,2000,TRUE,800,TRUE,2000,951,63.3,"Non-Breast Solid",9,5016.525,17.9407059667798,200
2002,"Martin (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,974,63.3,"Non-Breast Solid",10,5137.85,19.4633942213183,300
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"Non-Breast Solid",3,1162,25.8175559380379,300
2049,"Nitz (2014",1,TRUE,360,TRUE,2400,TRUE,400,FALSE,NA,978,59,"Non-Breast Solid",9,4808.5,18.7168555682645,360
2049,"Nitz (2014",2,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,795,59,"Non-Breast Solid",4,3908.75,10.2334505916214,600
